Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,Rheumatoid arthritis,0.650322390990236,2.0248934992397207,0.0,0.0010501834632244459,0.001,32/70,14.71%,ccl20;mmp3;il1a;il1b;cxcl1;ccl2;tnf;jun;ccl3;fos;cxcl3;ctla4;ltb;ifng;itgb2;icam1;cd80;il18;tnfrsf11a;cd86;atp6v1f;atp6v0b;tcirg1;atp6v0d1;atp6v0c;tnfsf13;tlr2;angpt1;ctsk;acp5;tgfb3;atp6v1e2
prerank,Tuberculosis,0.5786653925940022,1.9646196373832958,0.0,0.0015752751948366688,0.003,64/140,21.29%,calml3;il1a;il1b;tnf;cyp27b1;nos2;ppp3r2;bax;ifng;src;itgb2;coro1a;cd74;itgax;itgam;il18;mapk10;mrc2;ifngr2;camp;lsp1;atp6v0b;ctsd;cycs;tcirg1;rfx5;lbp;sphk1;atp6v0d1;tradd;ctss;atp6v0c;bcl2;tlr2;ifngr1;ripk2;tgfb3;vdr;bcl10;syk;fadd;lamp2;irak1;fcer1g;camk2b;mapk11;myd88;clec7a;nod2;card9;ciita;tlr6;tgfb1;il10rb;bid;lamp1;atp6ap1;stat1;mapk1;il6;rab5c;rhoa;ifnb1;atp6v0a4
prerank,Graft-versus-host disease,0.810384882621907,1.9416328104456764,0.0,0.0017503057720407431,0.005,9/16,7.98%,il1a;il1b;tnf;kir3dl2;kir3dl1;il2;ifng;cd80;cd86
prerank,Leishmaniasis,0.6365455052334807,1.9235793630875742,0.0,0.0021003669264488918,0.008,29/56,19.88%,eef1a2;il1a;il1b;tnf;jun;nos2;fos;ncf2;ifng;itgb2;itgam;ncf4;ifngr2;marcksl1;cybb;itga4;cyba;tlr2;ifngr1;tgfb3;ptgs2;irak1;mapk11;myd88;prkcb;tgfb1;stat1;itgb1;mapk1
prerank,Viral protein interaction with cytokine and cytokine receptor,0.6031623944325731,1.9038958382845483,0.0,0.0029405136970284485,0.014,30/76,13.00%,ccl20;ccl26;ccl8;cxcl10;cxcl1;ccl2;tnf;ackr3;cxcr4;cxcr3;cxcl11;ccl3;il2;ccl4;cxcl3;ccr5;ccl19;ccl25;il19;il34;il18;cxcl9;ccr1;tnfsf14;ccr2;cx3cr1;ccr6;il18rap;csf1r;cxcr1
prerank,Cell cycle,0.5616734376217861,1.8971785656088715,0.0,0.0024504280808570404,0.014,45/120,19.73%,cdk1;cdc45;ccne1;cdc6;cdkn2b;e2f1;pttg1;bub1;cdc25c;cdkn2a;cdkn1a;pkmyt1;ccna2;cdc20;myc;ccnb1;cdc7;ywhah;cdkn2d;e2f3;ccnb2;mcm6;ccnd1;gadd45g;pcna;ywhaz;mad2l1;ttk;tgfb3;cdc25b;mcm2;cdc25a;mad2l2;ywhab;rbx1;ccnd3;dbf4;rb1;ccne2;tgfb1;mcm3;mcm4;orc1;bub1b;ywhag
prerank,Tryptophan metabolism,-0.5749068852546045,-1.8712949040067766,0.0,0.05946639529224371,0.068,16/40,12.93%,cyp1a1;cyp1a2;aoc1;gcdh;ido2;haao;maoa;aadat;aox1;acmsd;aanat;tdo2;aldh7a1;dhtkd1;tph1;aldh3a2
prerank,"Alanine, aspartate and glutamate metabolism",-0.5894833197398879,-1.8640322930709898,0.0029940119760479044,0.031798003038213646,0.072,16/33,16.21%,ass1;gpt;gad2;folh1;gpt2;aspa;gls2;rimkla;cps1;gad1;abat;gfpt2;aldh5a1;agxt;asns;agxt2
prerank,Osteoclast differentiation,0.5627368633976414,1.8487284930382846,0.0,0.004950864898058102,0.033,48/109,23.40%,calcr;trem2;il1a;il1b;tnf;jun;ppp3r2;fos;relb;junb;ncf2;socs3;sirpa;ifng;tyrobp;spi1;jund;mapk10;ncf4;tnfrsf11a;ifngr2;socs1;fosb;sqstm1;cyba;ifngr1;csf1r;nfkb2;ctsk;acp5;syk;btk;mapk11;tgfbr1;ikbkg;tgfb1;fosl2;itgb3;gab2;stat1;mapk1;lcp2;rac1;ifnb1;pik3r2;pik3cd;tgfbr2;ncf1
prerank,Pertussis,0.594716945684956,1.8403549163375652,0.0,0.004725825584510006,0.036,28/63,20.88%,calml3;il1a;il1b;tnf;jun;nos2;fos;pycard;itgb2;itgam;mapk10;c1qa;cfl1;casp1;c1qb;nlrp3;ly96;ticam1;irak1;c1qc;mapk11;myd88;casp7;itgb1;mapk1;il6;irf1;rhoa
