,440353.1.X_4,440354.1.X_4,440357.1.X_5,440422.1.X_1,440492.1.X_5,440527.1.X_4,440534.1.X_5,440538.1.X_6,440548.1.X_7,449058.1.X_7,449060.1.X_8,449065.1.X_5
a1bg,6906.0,10556.0,10990.0,10582.0,12276.0,11563.0,8589.0,5733.0,11558.0,10913.0,7998.0,12134.0
a1cf,9293.0,19942.0,15732.0,19612.0,18474.0,18603.0,18674.0,18042.0,19301.0,16481.0,17023.0,18947.0
a2m,79707.0,38391.0,20908.0,39288.0,98866.0,86713.0,43988.0,35546.0,89737.0,39190.0,36627.0,67573.0
a3galt2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
a4galt,48.0,18.0,14.0,19.0,14.0,9.0,11.0,3.0,13.0,14.0,15.0,24.0
a4gnt,18.0,0.0,0.0,3.0,4.0,3.0,1.0,3.0,4.0,1.0,5.0,6.0
aaas,473.0,355.0,443.0,545.0,707.0,480.0,330.0,268.0,385.0,452.0,396.0,377.0
aacs,602.0,445.0,384.0,713.0,560.0,702.0,556.0,362.0,606.0,625.0,568.0,722.0
aadac,8589.0,8112.0,11192.0,6874.0,10608.0,5795.0,5777.0,3983.0,6096.0,7899.0,5253.0,6385.0
aadacl2,13.0,3.0,2.0,18.0,11.0,6.0,13.0,0.0,12.0,11.0,15.0,10.0
aadacl3,3.0,8.0,7.0,11.0,4.0,4.0,9.0,5.0,7.0,6.0,15.0,8.0
aadat,212.0,873.0,1000.0,820.0,865.0,820.0,857.0,1222.0,1203.0,669.0,950.0,929.0
aagab,665.0,497.0,418.0,463.0,513.0,515.0,257.0,244.0,271.0,478.0,351.0,343.0
aak1,1095.0,680.0,453.0,720.0,699.0,734.0,479.0,341.0,596.0,620.0,733.0,650.0
aamdc,298.0,248.0,253.0,363.0,377.0,321.0,274.0,171.0,315.0,274.0,248.0,285.0
aamp,662.0,633.0,786.0,943.0,1234.0,809.0,941.0,468.0,800.0,905.0,774.0,1094.0
aanat,13.0,3.0,4.0,1.0,3.0,6.0,10.0,2.0,4.0,1.0,6.0,8.0
aar2,506.0,382.0,472.0,393.0,357.0,336.0,259.0,171.0,282.0,312.0,284.0,254.0
aard,54.0,25.0,37.0,28.0,63.0,83.0,54.0,53.0,67.0,51.0,52.0,81.0
aars2,324.0,301.0,209.0,465.0,341.0,378.0,318.0,220.0,345.0,335.0,293.0,358.0
aarsd1,273.0,231.0,183.0,232.0,225.0,282.0,208.0,185.0,203.0,196.0,179.0,194.0
aasdh,409.0,510.0,269.0,438.0,474.0,424.0,350.0,228.0,441.0,337.0,433.0,347.0
aasdhppt,862.0,801.0,849.0,1003.0,910.0,644.0,729.0,467.0,712.0,813.0,769.0,624.0
aass,683.0,2757.0,1325.0,2239.0,2001.0,2565.0,6485.0,5301.0,5790.0,2628.0,1789.0,5114.0
aatf,497.0,344.0,259.0,407.0,467.0,329.0,346.0,209.0,397.0,334.0,306.0,444.0
aatk,27.0,25.0,13.0,29.0,12.0,29.0,48.0,34.0,27.0,5.0,30.0,22.0
abat,5927.0,13908.0,9297.0,12998.0,10463.0,12224.0,14316.0,10044.0,14344.0,10696.0,10494.0,15597.0
abca1,9697.0,9484.0,5999.0,9992.0,7390.0,9211.0,8765.0,4656.0,8350.0,8414.0,5475.0,9293.0
abca12,43.0,0.0,4.0,7.0,30.0,4.0,3.0,3.0,5.0,4.0,23.0,5.0
abca13,122.0,90.0,48.0,122.0,133.0,124.0,118.0,72.0,129.0,93.0,92.0,94.0
abca2,812.0,825.0,708.0,774.0,469.0,995.0,393.0,635.0,849.0,830.0,1596.0,512.0
abca3,103.0,48.0,96.0,103.0,62.0,77.0,44.0,27.0,50.0,65.0,79.0,73.0
abca4,78.0,46.0,40.0,51.0,19.0,66.0,84.0,36.0,187.0,79.0,62.0,80.0
abca5,2618.0,4723.0,2188.0,4152.0,3956.0,3772.0,3588.0,2713.0,3019.0,3562.0,3683.0,3786.0
abca6,7305.0,8720.0,6504.0,7437.0,8288.0,10029.0,14275.0,8192.0,11374.0,8959.0,6526.0,12939.0
abca7,160.0,81.0,95.0,54.0,122.0,92.0,72.0,75.0,106.0,122.0,93.0,74.0
abca9,2767.0,1539.0,1633.0,2691.0,2719.0,1971.0,2520.0,2125.0,2844.0,2019.0,1855.0,2536.0
abcb10,682.0,679.0,633.0,879.0,806.0,674.0,666.0,424.0,561.0,695.0,590.0,564.0
abcb11,4470.0,5545.0,2464.0,5161.0,2923.0,3591.0,6872.0,4764.0,5998.0,3903.0,4055.0,8677.0
abcb4,6156.0,9327.0,6944.0,12563.0,11336.0,13420.0,4983.0,4139.0,5485.0,12104.0,7673.0,4171.0
abcb5,79.0,77.0,18.0,64.0,82.0,124.0,60.0,58.0,71.0,72.0,59.0,71.0
abcb6,399.0,450.0,302.0,701.0,371.0,367.0,589.0,322.0,450.0,536.0,399.0,405.0
abcb7,574.0,655.0,615.0,666.0,695.0,503.0,610.0,422.0,603.0,532.0,517.0,599.0
abcb8,376.0,352.0,296.0,423.0,272.0,481.0,237.0,163.0,265.0,320.0,326.0,241.0
abcb9,226.0,147.0,91.0,222.0,147.0,228.0,160.0,115.0,171.0,206.0,194.0,159.0
abcc1,604.0,190.0,179.0,196.0,252.0,275.0,132.0,89.0,144.0,167.0,222.0,165.0
abcc10,357.0,243.0,153.0,344.0,227.0,364.0,213.0,130.0,288.0,267.0,272.0,279.0
abcc12,0.0,0.0,0.0,3.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0
abcc2,7043.0,14061.0,7931.0,11844.0,8403.0,9006.0,11690.0,8184.0,11324.0,11703.0,9468.0,10537.0
abcc3,5674.0,4119.0,3446.0,5497.0,3471.0,5766.0,4534.0,2177.0,4475.0,4506.0,4116.0,3856.0
abcc4,642.0,271.0,209.0,333.0,303.0,378.0,186.0,122.0,298.0,269.0,496.0,214.0
abcc5,1898.0,350.0,415.0,694.0,698.0,776.0,413.0,293.0,449.0,579.0,835.0,324.0
abcc6,2277.0,4470.0,4969.0,6390.0,5236.0,7283.0,4627.0,4216.0,4664.0,5319.0,5666.0,3837.0
abcc8,6.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0
abcc9,4282.0,8228.0,7040.0,9875.0,8745.0,5901.0,7510.0,5932.0,8954.0,8255.0,7780.0,8778.0
abcd1,188.0,123.0,105.0,206.0,150.0,161.0,113.0,77.0,111.0,163.0,196.0,72.0
abcd2,56.0,21.0,26.0,22.0,49.0,29.0,15.0,6.0,30.0,20.0,27.0,22.0
abcd3,4178.0,5224.0,4726.0,6444.0,7590.0,5255.0,4111.0,3028.0,5392.0,6363.0,5037.0,4500.0
abcd4,799.0,753.0,614.0,854.0,778.0,939.0,809.0,657.0,970.0,857.0,736.0,869.0
abce1,1915.0,1638.0,1244.0,1269.0,1690.0,1029.0,1277.0,613.0,1068.0,1179.0,1068.0,1087.0
abcf1,724.0,813.0,576.0,1009.0,880.0,880.0,756.0,386.0,752.0,943.0,840.0,765.0
abcf2,619.0,421.0,425.0,511.0,458.0,469.0,348.0,194.0,337.0,341.0,394.0,287.0
abcf3,622.0,436.0,362.0,725.0,642.0,785.0,554.0,350.0,538.0,541.0,591.0,491.0
abcg1,523.0,156.0,225.0,230.0,255.0,300.0,295.0,256.0,204.0,324.0,248.0,209.0
abcg2,672.0,1410.0,1465.0,1046.0,1553.0,1020.0,2203.0,856.0,1618.0,1230.0,450.0,2106.0
abcg4,17.0,8.0,2.0,7.0,7.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0
abcg5,1444.0,1939.0,1859.0,2543.0,2569.0,2795.0,2039.0,1897.0,2278.0,2585.0,2181.0,2215.0
abcg8,959.0,1722.0,1776.0,2141.0,2222.0,2316.0,1553.0,1759.0,2258.0,1886.0,2242.0,1657.0
abhd10,685.0,779.0,803.0,728.0,882.0,563.0,737.0,564.0,756.0,804.0,660.0,988.0
abhd11,243.0,193.0,129.0,259.0,214.0,196.0,194.0,122.0,172.0,183.0,211.0,196.0
abhd12,632.0,435.0,344.0,322.0,367.0,319.0,304.0,217.0,304.0,319.0,337.0,429.0
abhd12b,191.0,316.0,143.0,340.0,271.0,390.0,317.0,228.0,403.0,304.0,337.0,354.0
abhd13,689.0,727.0,505.0,730.0,712.0,605.0,529.0,378.0,575.0,619.0,604.0,549.0
abhd14a,189.0,168.0,229.0,169.0,211.0,159.0,127.0,87.0,141.0,150.0,97.0,172.0
abhd14b,1013.0,1673.0,2093.0,1806.0,1716.0,1470.0,931.0,912.0,1266.0,1502.0,1451.0,1561.0
abhd15,299.0,932.0,775.0,942.0,807.0,813.0,892.0,643.0,843.0,848.0,734.0,885.0
abhd16a,741.0,511.0,726.0,787.0,716.0,630.0,452.0,308.0,351.0,591.0,810.0,447.0
abhd16b,17.0,31.0,15.0,34.0,30.0,30.0,29.0,20.0,30.0,25.0,36.0,25.0
abhd17a,439.0,351.0,613.0,273.0,335.0,259.0,279.0,170.0,244.0,291.0,322.0,353.0
abhd17b,449.0,324.0,350.0,392.0,446.0,327.0,322.0,241.0,303.0,329.0,297.0,351.0
abhd17c,128.0,62.0,52.0,62.0,45.0,68.0,22.0,21.0,26.0,63.0,40.0,27.0
abhd18,734.0,827.0,951.0,1085.0,927.0,819.0,1007.0,780.0,875.0,916.0,729.0,925.0
abhd2,16847.0,18029.0,14277.0,20068.0,18424.0,20395.0,16215.0,7856.0,11243.0,19539.0,17771.0,12401.0
abhd3,933.0,525.0,702.0,500.0,671.0,608.0,431.0,364.0,431.0,502.0,432.0,488.0
