,I00003,I00004,I00009,I00010,I00015,I00016,I00021,I00022,I00027,I00028,I00033,I00034
a1bg,2,5,2,1,0,3,0,2,0,1,3,2
a1cf,1498,1891,1940,1896,2236,2158,2242,1802,2392,2000,1866,3028
a2m,11,6,6,5,11,4,7,8,4,2,8,6
a3galt2,1,0,0,0,0,4,2,2,1,0,2,0
a4galt,22,15,20,20,29,18,21,10,28,18,25,24
a4gnt,0,0,1,0,2,0,0,6,0,4,14,1
aaas,133,147,161,134,184,167,125,119,105,110,112,115
aacs,775,3440,1711,1728,3317,2660,3296,2448,1307,1476,829,1367
aadac,12770,16655,19013,13691,16451,15401,14092,16149,15104,17962,15104,15327
aadacl2,1,0,0,0,0,0,0,0,0,0,0,0
aadacl3,0,0,0,0,0,0,0,0,0,0,0,0
aadat,1809,2839,3456,2270,2019,2140,1743,1954,1725,1891,1669,2129
aagab,677,789,913,670,977,839,731,764,710,816,682,760
aak1,365,391,421,349,471,490,447,357,487,305,395,462
aamdc,359,500,507,383,457,424,433,387,449,388,513,326
aamp,2750,2777,3086,2661,3430,2967,2855,2601,2638,2384,2585,2254
aanat,2,1,2,2,1,4,2,3,2,2,2,1
aar2,425,481,468,402,524,497,416,408,394,369,287,433
aard,26,28,31,17,29,16,21,19,17,27,25,25
aars2,335,330,362,284,412,349,339,278,345,282,273,316
aarsd1,326,476,433,421,499,501,408,430,325,354,322,382
aasdh,183,180,223,154,219,204,161,154,158,156,165,174
aasdhppt,898,903,1043,812,962,1013,757,850,840,1053,752,846
aass,9479,11107,10894,8704,10863,10716,9387,7657,8989,8103,8879,7382
aatf,343,375,460,363,477,474,320,367,393,387,343,344
aatk,53,118,37,94,72,126,59,178,58,162,59,178
abat,7947,8871,10019,6799,9618,7810,6711,6819,6852,7389,6732,7622
abca1,7619,7473,9568,7122,10901,9246,9121,7380,8743,6062,7054,8429
abca12,13,24,15,14,10,12,25,16,19,13,23,18
abca13,31,5,7,3,8,1,9,5,7,6,5,7
abca2,889,810,1053,636,889,793,712,795,814,501,589,1126
abca3,1278,1049,1356,897,1603,1239,1353,1206,1518,1050,1168,1437
abca4,29,17,37,12,23,27,28,16,28,19,24,22
abca5,244,175,268,188,240,279,187,207,183,275,189,275
abca6,7875,9412,11087,9345,10537,10272,9001,8107,10321,9286,9112,9474
abca7,202,157,208,148,260,200,200,148,226,126,204,182
abca9,413,338,403,270,485,264,395,259,355,249,349,303
abcb10,656,1070,869,698,911,895,853,926,749,779,726,856
abcb11,22933,21282,26964,15776,18279,23067,15108,21918,16149,22518,13133,21533
abcb4,5219,4056,6382,4334,4981,5040,3702,3808,4227,4913,4173,4516
abcb5,0,0,0,0,0,2,0,2,0,0,0,0
abcb6,1015,1683,1526,1378,1739,1521,1415,1319,1612,1251,1335,1294
abcb7,1789,2002,2409,1778,2297,2190,1802,1683,1792,1932,1917,1765
abcb8,596,647,730,537,784,605,567,502,567,456,604,547
abcb9,44,46,51,43,45,64,31,35,49,35,41,39
abcc1,208,142,212,138,261,185,238,151,287,89,195,178
abcc10,84,101,108,92,114,93,132,117,135,74,93,119
abcc12,4,6,9,7,6,9,11,2,2,3,6,7
abcc2,7282,9626,9883,9925,12794,9170,10779,10265,12893,10067,11107,12402
abcc3,2415,3817,2889,3778,4389,4441,2735,3729,3467,4401,3054,3540
abcc4,120,74,119,95,173,82,101,86,119,65,128,83
abcc5,263,137,260,150,324,138,221,143,286,118,245,214
