,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
a1bg,1.7638556631668187,-1.0947461763525987,0.9544588254050125,-1.1469810401596499,0.2513894569972509,
a1cf,2075.4029689873737,-0.22042461428018553,0.13486715614872408,-1.6343832002886856,0.10217841350836268,0.24306316623237162
a2m,6.442011813914113,0.4529204198884271,0.46814412513167136,0.9674807299163213,0.3333037699099436,0.5816477553330388
a3galt2,1.00013181251987,-0.03847298378899306,1.405752716993552,-0.027368244303503292,0.978166026131389,
a4galt,20.652422116018965,0.3155664787937693,0.2644041357974654,1.1935005397778438,0.232673400886795,0.4706348336119263
a4gnt,2.4337657861287414,0.46979646999165836,1.4353842870259614,0.3272966509651929,0.7434435252197381,0.8568279308212872
aaas,132.99323234690564,-0.10499585848694115,0.13045392606812592,-0.8048501233463069,0.42090617327415913,0.6013460724754452
aacs,1997.2391130172507,-0.39542703803532,0.38330814477702707,-1.0316165816548004,0.30225176941416776,0.5413661768711628
aadac,15633.55950311182,-0.20245120130269814,0.09520620240626568,-2.126449707959095,0.03346583258567129,0.1294982217445541
aadacl2,0.08778657991491724,0.33126501973510425,3.401110557331754,0.09739907425855304,0.9224094798694502,
aadacl3,0.0,,,,,
aadat,2124.090121742477,-0.2530910360609219,0.14942300043360746,-1.693789010570544,0.0903053830876294,0.22963368842282905
aagab,773.1548918317807,-0.145295606144567,0.07732413188711709,-1.8790460700765343,0.06023820292371253,0.1787066686736805
aak1,408.39150041508213,-0.006078280254642867,0.10028425242895742,-0.060610515683395004,0.9516693986189857,0.9664537886746388
aamdc,425.1141933811842,0.026812157244456222,0.11356202025754276,0.23610144644882156,0.8133539515534105,0.9063724124835913
aamp,2732.8107278131224,-0.005145962721526238,0.07207986331160295,-0.07139251498411033,0.9430853665878711,0.9664537886746388
aanat,2.018801623580556,-0.379760952821768,0.7721012464691109,-0.49185382688921864,0.6228226814424822,
aar2,422.63532272107756,-0.19670227362690637,0.09847684104243828,-1.9974470296233218,0.04577664326063157,0.15513412889193978
aard,23.313829803073588,0.018261495880585232,0.2537078452354033,0.07197844380271831,0.942619062700042,0.9664537886746388
aars2,322.7762062765791,0.016574517153531632,0.07928021203984127,0.20906247255244875,0.8343994699067291,0.909187616698686
aarsd1,404.5094431604769,-0.30562649887678384,0.09644215940516004,-3.1690134352221024,0.0015295732445990608,0.009075467917954428
aasdh,176.08592665444766,-0.03365464191482867,0.10070407022804473,-0.33419346247492887,0.7382335768767776,0.8568279308212872
aasdhppt,893.5856126339795,-0.21706537399540285,0.09903226538212907,-2.191865178059165,0.028389243109958977,0.1148473925811977
aass,9278.642291571183,-0.020662822269490656,0.08817247782904807,-0.23434548714341988,0.8147167752661495,0.9063724124835913
aatf,384.76598179138506,-0.14199004503144658,0.09244893910954036,-1.5358753318218854,0.12456895930100358,0.2842727532766492
aatk,102.17137970966722,-1.4960602212995497,0.20821066981484054,-7.185319669880413,6.705011975118797e-13,5.96746065785573e-11
abat,7708.404549906824,-0.07831234391081168,0.08888448043941909,-0.8810575650963833,0.3782866636052047,0.59204438453874
abca1,8133.130913518647,0.06053833988740915,0.07825842310200842,0.7735696361847023,0.4391853338303814,0.6013460724754452
abca12,16.91112120977738,-0.01620638889106444,0.3231040033242721,-0.05015842801179861,0.9599961394695712,0.9664537886746388
abca13,7.896720789919037,1.1922651454732742,0.5865287795901762,2.0327479008043605,0.04207799916069693,0.14979767701208108
abca2,793.5268509873877,-0.06126785058825382,0.15651691048526148,-0.3914455658388628,0.6954679171399738,0.8411050299281323
abca3,1252.451595127897,0.11639956512517512,0.10322822807355196,1.1275943343930919,0.2594912805131724,0.5020592166450509
abca4,23.159040753551196,0.43979894893176613,0.25024703482975086,1.7574591812085687,0.07883957353177133,0.2063741777743426
abca5,225.81471396907872,-0.24750762387952724,0.15214394215242566,-1.6267990718392278,0.10377977884078789,0.24306316623237162
abca6,9445.080705054852,-0.10410660302745306,0.06868406322287224,-1.5157315706503642,0.1295872412598506,0.28833161180316763
abca7,185.96038618122273,0.2898301419516437,0.10367106519050553,2.7956705317829327,0.0051792169554559985,0.027926361373392876
abca9,336.15023266002214,0.3610186520291055,0.09751535369328011,3.7021724103533007,0.00021376127181631658,0.0021138614657391307
abcb10,830.0892957011425,-0.28433331015047886,0.08845766505480036,-3.214343380806306,0.0013074321819180241,0.008950881860823396
abcb11,19888.78652024427,-0.31725920477467423,0.15440151917233402,-2.054767378425648,0.039901478466517114,0.14796798264666763
abcb4,4594.69128436422,-0.05142523038270221,0.12236390872914497,-0.420264691744467,0.6742921004185394,0.8334999574618056
abcb5,0.3410635204016715,-1.9734288873812875,2.9732507032494695,-0.6637277123064411,0.5068645992841792,
abcb6,1414.267190839222,-0.12337689668245425,0.09247848702386614,-1.3341145671059051,0.18216631247889115,0.3770419025725887
abcb7,1934.5186969735032,-0.07390706919247314,0.0719220626586294,-1.027599410535059,0.3041383016130128,0.5413661768711628
abcb8,589.0397945371436,0.0723597327582867,0.0768853244040637,0.9411384203571388,0.34663392885047684,0.59204438453874
abcb9,43.27288452493334,-0.14798292704185528,0.1905764001224534,-0.7765018488478636,0.43745272959259873,0.6013460724754452
abcc1,187.13121286252485,0.5251992749430117,0.14665038924683169,3.581301608814914,0.000341886698261004,0.0027661741950208507
abcc10,104.69523493565923,0.008852930799873052,0.15940800958380869,0.05553629847701365,0.9557112125572771,0.9664537886746388
abcc12,5.901121027223851,0.02139437921987315,0.5087076424976016,0.0420563353733653,0.9664537886746388,0.9664537886746388
abcc2,10492.999186771965,-0.08614277861722186,0.12968243755660333,-0.6642594035111545,0.5065242992108983,0.6818085649834957
abcc3,3562.882724513765,-0.48866001583426927,0.11386641180941282,-4.291520283015311,1.7745399018002332e-05,0.0003344880329357265
abcc4,102.28407126463061,0.4890792044253552,0.14745136995816296,3.3168847774294927,0.0009102714840321768,0.006751180173238645
abcc5,204.68675479949545,0.676242236499154,0.13941071418861148,4.850719260961914,1.2301456112311598e-06,5.474147969978661e-05
abcc6,2712.0159270035783,-0.09902205832261751,0.08402177246704293,-1.178528557719469,0.2385859542659553,0.47186999843711164
abcc8,0.7398847402297326,0.28640205314566036,1.837798603416836,0.1558397381591114,0.8761593467487616,
abcc9,969.4856520451282,-0.11620873559963936,0.13564066731567537,-0.856739633469863,0.39158879433016036,0.59204438453874
abcd1,388.6713355492083,0.2025537081293882,0.1053632955325651,1.9224314037024783,0.05455149725957696,0.1733958305750839
abcd2,532.0592098505062,0.8010712879543397,0.4034137298401655,1.9857313440267097,0.04706316269755476,0.15513412889193978
